method,fold,P,sp_mean,sp_median,sp_excluded,wape_median,interval80,mase_median_fc,sp_0.1,sp_0.5,sp_0.8,sp_0.9,sp_0.95,sp_0.99,sp_low,sp_mid,sp_high,cov_hi_0.8,cov_lo_0.8,tie_0.8,zero_share_0.8,raw_cov_0.8,status_0.8,cov_hi_0.8_low,cov_lo_0.8_low,cov_hi_0.8_mid,cov_lo_0.8_mid,cov_hi_0.8_high,cov_lo_0.8_high,cov_hi_0.9,cov_lo_0.9,tie_0.9,zero_share_0.9,raw_cov_0.9,status_0.9,cov_hi_0.9_low,cov_lo_0.9_low,cov_hi_0.9_mid,cov_lo_0.9_mid,cov_hi_0.9_high,cov_lo_0.9_high,cov_hi_0.95,cov_lo_0.95,tie_0.95,zero_share_0.95,raw_cov_0.95,status_0.95,cov_hi_0.95_low,cov_lo_0.95_low,cov_hi_0.95_mid,cov_lo_0.95_mid,cov_hi_0.95_high,cov_lo_0.95_high,cov_hi_0.99,cov_lo_0.99,tie_0.99,zero_share_0.99,raw_cov_0.99,status_0.99,cov_hi_0.99_low,cov_lo_0.99_low,cov_hi_0.99_mid,cov_lo_0.99_mid,cov_hi_0.99_high,cov_lo_0.99_high,point_wape
B2_raw,F3,10,0.43285,0.29579,1,0.3845,0.96139,0.88569,0.19564,0.44285,0.83105,0.61537,0.39494,0.11724,0.25682,0.2823,0.7574,0.94361,0.91083,0.03278,0.0,0.91083,over,0.92593,0.86532,0.91584,0.88036,0.98917,0.98667,0.96417,0.94611,0.01806,0.0,0.94611,over,0.95118,0.91751,0.95132,0.93069,0.99,0.99,0.9775,0.96278,0.01472,0.0,0.96278,consistent,0.97475,0.94276,0.96535,0.95297,0.9925,0.9925,0.98806,0.98194,0.00611,0.0,0.98194,consistent,0.98569,0.97727,0.98185,0.9736,0.99667,0.995,0.3845
quantile_model,F3,14,0.22983,0.19594,1,0.33478,0.83472,0.86928,0.1682,0.43464,0.34517,0.23209,0.14492,0.05395,0.23583,0.23176,0.222,0.83333,0.78028,0.05306,0.00222,0.7825,consistent,0.8931,0.82323,0.80776,0.75495,0.8,0.76333,0.90778,0.87861,0.02917,0.00083,0.87944,consistent,0.94108,0.90404,0.89686,0.85974,0.88583,0.8725,0.95389,0.93972,0.01417,0.0,0.93972,consistent,0.97054,0.95286,0.94637,0.93152,0.945,0.935,0.99583,0.99444,0.00139,0.0,0.99444,consistent,0.99663,0.99495,0.99587,0.9934,0.995,0.995,
conformal,F3,14,0.22934,0.19504,1,0.33477,0.84444,0.86926,0.1682,0.43463,0.34287,0.23181,0.14643,0.0521,0.23484,0.23097,0.2223,0.84056,0.7875,0.05306,0.00167,0.78861,consistent,0.87626,0.80051,0.80611,0.74752,0.84,0.815,0.9175,0.88917,0.02833,0.00028,0.88917,consistent,0.9335,0.8931,0.88696,0.85231,0.9325,0.9225,0.96083,0.94556,0.01528,0.0,0.94556,consistent,0.96717,0.93939,0.94637,0.93152,0.96917,0.96583,0.99528,0.99389,0.00139,0.0,0.99389,consistent,0.99663,0.99495,0.9934,0.99175,0.99583,0.995,
B1_ma28,F3,14,0.48532,0.34038,1,0.35068,0.95972,0.92329,0.2246,0.46165,0.93799,0.70149,0.45201,0.13418,0.27211,0.35489,0.826,0.93694,0.90806,0.02889,0.0,0.90806,over,0.90067,0.83502,0.92822,0.90842,0.98167,0.98,0.95972,0.94528,0.01444,0.0,0.94528,over,0.93855,0.90657,0.95462,0.94554,0.98583,0.98333,0.9725,0.95917,0.01333,0.0,0.95917,consistent,0.96212,0.93266,0.967,0.9571,0.98833,0.9875,0.98639,0.97972,0.00667,0.0,0.97972,consistent,0.98316,0.9697,0.98515,0.97855,0.99083,0.99083,0.35068
B2_xgb,F3,14,0.47139,0.32508,1,0.35815,0.965,0.94161,0.22573,0.47081,0.90521,0.67179,0.42989,0.12491,0.26712,0.34824,0.79595,0.94806,0.92611,0.02194,0.0,0.92611,over,0.92088,0.87374,0.93729,0.91832,0.98583,0.98583,0.96944,0.95528,0.01417,0.0,0.95528,over,0.95539,0.92172,0.96287,0.95462,0.99,0.98917,0.97806,0.96778,0.01028,0.0,0.96778,consistent,0.97054,0.94781,0.97277,0.96452,0.99083,0.99083,0.99028,0.98528,0.005,0.0,0.98528,consistent,0.98822,0.97811,0.98762,0.98432,0.995,0.99333,0.35815
C_rf,F3,14,0.46145,0.31208,1,0.34358,0.96694,0.89869,0.22536,0.44935,0.88702,0.66141,0.42327,0.12227,0.25908,0.32725,0.79531,0.95306,0.93389,0.01917,0.0,0.93389,over,0.92845,0.88973,0.94307,0.92574,0.9875,0.98583,0.97139,0.96139,0.01,0.0,0.96139,over,0.95875,0.93182,0.96535,0.96205,0.99,0.99,0.98111,0.9725,0.00861,0.0,0.9725,consistent,0.97559,0.95455,0.97607,0.97195,0.99167,0.99083,0.99194,0.98722,0.00472,0.0,0.98722,consistent,0.99074,0.98232,0.99092,0.98515,0.99417,0.99417,0.34358
B2_raw,F3,14,0.47337,0.32679,1,0.34867,0.96583,0.93927,0.22742,0.46964,0.91065,0.67612,0.43179,0.1246,0.27823,0.33205,0.80734,0.95417,0.93389,0.02028,0.0,0.93389,over,0.93603,0.89478,0.94059,0.92079,0.98583,0.98583,0.97194,0.96111,0.01083,0.0,0.96111,over,0.96212,0.93855,0.96535,0.95627,0.98833,0.98833,0.98,0.97333,0.00667,0.0,0.97333,consistent,0.97559,0.96044,0.97442,0.96947,0.99,0.99,0.99056,0.98917,0.00139,0.0,0.98917,consistent,0.9899,0.98653,0.98845,0.98762,0.99333,0.99333,0.34867
quantile_model,F4,7,0.32068,0.19128,0,0.37801,0.89667,1.26515,0.24011,0.63257,0.4944,0.30592,0.18491,0.06619,0.54659,0.2191,0.19963,0.86,0.77417,0.08583,0.00306,0.77722,consistent,0.90657,0.77778,0.85396,0.76815,0.82,0.77667,0.93444,0.89639,0.03806,0.0,0.89639,consistent,0.96044,0.90572,0.92904,0.88861,0.91417,0.895,0.96722,0.95,0.01722,0.0,0.95,consistent,0.97559,0.95623,0.96947,0.94554,0.95667,0.94833,0.99667,0.99444,0.00222,0.0,0.99444,consistent,0.99832,0.99242,0.9967,0.9967,0.995,0.99417,
conformal,F4,7,0.32241,0.19126,0,0.37801,0.90611,1.26514,0.24011,0.63257,0.49783,0.31784,0.18554,0.06055,0.55288,0.2194,0.19827,0.87556,0.79611,0.07944,0.0025,0.79861,consistent,0.90572,0.77189,0.88531,0.81683,0.83583,0.79917,0.94389,0.90833,0.03556,0.0,0.90833,consistent,0.95286,0.89562,0.9505,0.91749,0.92833,0.91167,0.97389,0.96028,0.01361,0.0,0.96028,consistent,0.97643,0.95623,0.97772,0.96617,0.9675,0.95833,0.995,0.99111,0.00389,0.0,0.99111,consistent,0.99579,0.98737,0.9967,0.99505,0.9925,0.99083,
B1_ma28,F4,7,0.41022,0.2572,0,0.41076,0.96139,1.33118,0.31853,0.66559,0.61867,0.4556,0.30209,0.10086,0.61909,0.28289,0.33206,0.93194,0.885,0.04694,0.0,0.885,over,0.91246,0.80976,0.93729,0.90264,0.94583,0.94167,0.96139,0.93583,0.02556,0.0,0.93583,over,0.94949,0.89731,0.97112,0.94967,0.96333,0.96,0.97222,0.95556,0.01667,0.0,0.95556,consistent,0.96633,0.93013,0.97937,0.96865,0.97083,0.9675,0.98389,0.97639,0.0075,0.0,0.97639,consistent,0.98653,0.97054,0.98927,0.98267,0.97583,0.97583,0.41076
