variant,cfg,arm,floor,sp_mean,sp_median,sp_excluded,wape_median,interval80,mase_median_fc,sp_0.1,sp_0.5,sp_0.8,sp_0.9,sp_0.95,sp_0.99,sp_low,sp_mid,sp_high,cov_hi_0.8,cov_lo_0.8,tie_0.8,zero_share_0.8,raw_cov_0.8,status_0.8,cov_hi_0.8_low,cov_lo_0.8_low,cov_hi_0.8_mid,cov_lo_0.8_mid,cov_hi_0.8_high,cov_lo_0.8_high,cov_hi_0.9,cov_lo_0.9,tie_0.9,zero_share_0.9,raw_cov_0.9,status_0.9,cov_hi_0.9_low,cov_lo_0.9_low,cov_hi_0.9_mid,cov_lo_0.9_mid,cov_hi_0.9_high,cov_lo_0.9_high,cov_hi_0.95,cov_lo_0.95,tie_0.95,zero_share_0.95,raw_cov_0.95,status_0.95,cov_hi_0.95_low,cov_lo_0.95_low,cov_hi_0.95_mid,cov_lo_0.95_mid,cov_hi_0.95_high,cov_lo_0.95_high,cov_hi_0.99,cov_lo_0.99,tie_0.99,zero_share_0.99,raw_cov_0.99,status_0.99,cov_hi_0.99_low,cov_lo_0.99_low,cov_hi_0.99_mid,cov_lo_0.99_mid,cov_hi_0.99_high,cov_lo_0.99_high,fold,P,n_fit,fit_seconds,n_rounds,hit_cap,crossing_share
norm,"{""max_depth"": 6, ""min_child_weight"": 30}",ev,0.14286,0.20841,0.18261,2,0.36296,0.89139,0.78081,0.14221,0.3904,0.31417,0.21496,0.13773,0.05096,0.22461,0.21308,0.18761,0.87333,0.80611,0.06722,0.00167,0.80778,consistent,0.9133,0.83923,0.87211,0.79125,0.835,0.78833,0.9375,0.89778,0.03972,0.00111,0.89889,consistent,0.96296,0.90993,0.93317,0.89274,0.91667,0.89083,0.96806,0.95083,0.01722,0.0,0.95083,consistent,0.98064,0.96212,0.96617,0.94472,0.9575,0.94583,0.99639,0.99444,0.00194,0.0,0.99444,consistent,0.99747,0.99579,0.9967,0.99422,0.995,0.99333,F1,7,266571,363.7,1000,True,0.0
norm,"{""max_depth"": 6, ""min_child_weight"": 30}",xs,0.14286,0.20514,0.17895,2,0.34042,0.86389,0.77007,0.14652,0.38504,0.30583,0.20709,0.13317,0.05317,0.21934,0.20899,0.18714,0.86556,0.80167,0.06389,0.0025,0.80417,consistent,0.90825,0.81818,0.86139,0.79373,0.8275,0.79333,0.93139,0.90472,0.02667,0.0,0.90472,consistent,0.95202,0.92256,0.92822,0.89191,0.91417,0.9,0.96583,0.95194,0.01389,0.0,0.95194,consistent,0.98316,0.9638,0.96287,0.94554,0.95167,0.94667,0.99639,0.99472,0.00167,0.0,0.99472,consistent,0.99832,0.99495,0.99505,0.9934,0.99583,0.99583,F1,10,265671,324.5,1000,True,0.0
norm,"{""max_depth"": 6, ""min_child_weight"": 30}",ev,0.14286,0.23197,0.18526,2,0.39251,0.89667,0.83098,0.14327,0.41549,0.35293,0.24804,0.16732,0.06478,0.23757,0.22847,0.23,0.86083,0.79806,0.06278,0.00472,0.80278,consistent,0.91582,0.8266,0.85644,0.79208,0.81083,0.77583,0.93,0.88889,0.04111,0.00111,0.89,consistent,0.96044,0.9133,0.93152,0.87706,0.89833,0.87667,0.96,0.94444,0.01556,0.0,0.94444,consistent,0.98064,0.96128,0.96287,0.94554,0.93667,0.92667,0.9925,0.99111,0.00139,0.0,0.99111,consistent,0.99663,0.99411,0.99422,0.99257,0.98667,0.98667,F2,7,291771,404.5,1000,True,0.0
norm,"{""max_depth"": 6, ""min_child_weight"": 30}",xs,0.14286,0.22556,0.17665,2,0.36135,0.88111,0.81042,0.14515,0.40521,0.34024,0.24047,0.15885,0.06345,0.23607,0.2249,0.21584,0.85472,0.80111,0.05361,0.00528,0.80583,consistent,0.92424,0.84596,0.85231,0.7995,0.78833,0.75833,0.92583,0.89639,0.02944,0.0,0.89639,consistent,0.96212,0.92845,0.92822,0.88861,0.8875,0.8725,0.96139,0.94389,0.0175,0.0,0.94389,consistent,0.98064,0.9638,0.96535,0.94224,0.93833,0.92583,0.99556,0.99333,0.00222,0.0,0.99333,consistent,0.99663,0.99411,0.9967,0.99505,0.99333,0.99083,F2,10,290871,353.1,999,False,0.0
norm,"{""max_depth"": 6, ""min_child_weight"": 30}",ev,0.14286,0.22443,0.1886,1,0.39867,0.88167,0.8507,0.15048,0.42535,0.34517,0.23212,0.14516,0.04828,0.23279,0.22564,0.21501,0.85806,0.79306,0.065,0.00194,0.795,consistent,0.91414,0.82239,0.84323,0.77228,0.8175,0.785,0.92639,0.88944,0.03694,0.0,0.88944,consistent,0.95875,0.91414,0.92162,0.87624,0.89917,0.87833,0.96389,0.9425,0.02139,0.0,0.9425,consistent,0.98148,0.95539,0.96205,0.93647,0.94833,0.93583,0.99611,0.99361,0.0025,0.0,0.99361,consistent,0.99747,0.99411,0.99587,0.99175,0.995,0.995,F3,7,323271,448.1,1000,True,0.0
norm,"{""max_depth"": 6, ""min_child_weight"": 30}",xs,0.14286,0.21795,0.17923,1,0.36454,0.86444,0.82217,0.15656,0.41108,0.32969,0.22313,0.13711,0.05013,0.22251,0.21986,0.21156,0.8475,0.79389,0.05361,0.00083,0.79472,consistent,0.90236,0.84007,0.83003,0.76815,0.81083,0.77417,0.91361,0.88,0.03361,0.0,0.88,consistent,0.95286,0.90067,0.89934,0.86551,0.88917,0.87417,0.96194,0.93806,0.02389,0.0,0.93806,consistent,0.9798,0.95202,0.95957,0.92574,0.94667,0.93667,0.99667,0.99556,0.00111,0.0,0.99556,consistent,0.99747,0.99663,0.99587,0.99422,0.99667,0.99583,F3,10,322371,397.4,999,False,0.0
norm,"{""max_depth"": 6, ""min_child_weight"": 30}",ev,0.14286,0.32027,0.19161,0,0.37896,0.89639,1.26915,0.24031,0.63457,0.4896,0.30649,0.18484,0.06581,0.54641,0.21879,0.19888,0.86056,0.77667,0.08389,0.0025,0.77917,consistent,0.90404,0.77441,0.85231,0.77145,0.82583,0.78417,0.93417,0.89611,0.03806,0.0,0.89611,consistent,0.9596,0.90488,0.92987,0.88944,0.91333,0.89417,0.96694,0.94889,0.01806,0.0,0.94889,consistent,0.97559,0.95539,0.96865,0.94389,0.95667,0.9475,0.99667,0.99389,0.00278,0.0,0.99389,consistent,0.99832,0.99242,0.9967,0.99587,0.995,0.99333,F4,7,348471,488.2,993,False,0.0
norm,"{""max_depth"": 6, ""min_child_weight"": 30}",xs,0.14286,0.39109,0.18531,0,0.3627,0.88056,1.43359,0.27911,0.71679,0.60633,0.4281,0.24137,0.07482,0.74872,0.22542,0.20435,0.84806,0.78333,0.06472,0.0,0.78333,consistent,0.88552,0.79377,0.83911,0.76815,0.82,0.78833,0.92278,0.88639,0.03639,0.0,0.88639,consistent,0.94613,0.89562,0.91254,0.86881,0.91,0.895,0.96333,0.94778,0.01556,0.0,0.94778,consistent,0.97559,0.95623,0.95792,0.93977,0.95667,0.9475,0.99722,0.99389,0.00333,0.0,0.99389,consistent,0.99832,0.99327,0.99752,0.9934,0.99583,0.995,F4,10,347571,422.7,1000,True,0.0
norm,"{""max_depth"": 3, ""min_child_weight"": 30}",base,0.07143,0.21399,0.1917,2,0.36968,0.90667,0.79121,0.14079,0.3956,0.31804,0.21941,0.14466,0.06542,0.22854,0.21777,0.19572,0.87917,0.81694,0.06222,0.00083,0.81778,consistent,0.91751,0.85101,0.88284,0.79868,0.8375,0.80167,0.94222,0.91167,0.03056,0.0,0.91167,consistent,0.96801,0.92761,0.93482,0.90759,0.92417,0.9,0.96806,0.95361,0.01444,0.0,0.95361,consistent,0.98569,0.96886,0.96287,0.94637,0.95583,0.94583,0.99611,0.99556,0.00056,0.0,0.99556,consistent,0.99663,0.99579,0.9967,0.99587,0.995,0.995,F1,7,266571,238.3,1000,True,0.0
norm,"{""max_depth"": 3, ""min_child_weight"": 30}",base,0.07143,0.21308,0.18553,2,0.34358,0.895,0.77831,0.14285,0.38915,0.31413,0.21632,0.1473,0.0687,0.22885,0.21609,0.19438,0.8725,0.82194,0.05056,0.0,0.82194,consistent,0.92256,0.84596,0.86304,0.81271,0.8325,0.8075,0.94222,0.92028,0.02194,0.0,0.92028,consistent,0.96801,0.93771,0.93894,0.91419,0.92,0.90917,0.96889,0.96139,0.0075,0.0,0.96139,consistent,0.98569,0.97811,0.96287,0.95462,0.95833,0.95167,0.99722,0.99667,0.00056,0.0,0.99667,consistent,0.99916,0.99747,0.9967,0.9967,0.99583,0.99583,F1,10,265671,266.0,1000,True,0.0
