family,variant,cfg,arm,floor,fold,P,n_fit,fit_seconds,wape,mase,mase_median,mase_series,mase_excluded,mae,rmse,share_y_le_forecast,wape_low,wape_mid,wape_high
xgb,norm,"{""max_depth"": 6, ""min_child_weight"": 30}",all,0.017857142857142856,F1,7,266571,1.7,0.5513273028294442,1.1095547577051517,1.0490256269311766,298,2,5.0836971715065005,9.582342484893706,0.7744444444444445,0.8279437190874778,0.5876932786699476,0.515284844900564
xgb,norm,"{""max_depth"": 6, ""min_child_weight"": 30}",all,0.03571428571428571,F1,7,266571,1.7,0.44907718395908336,0.9402029022306527,0.8478534956009299,298,2,4.140865867089381,7.699923455149464,0.6916666666666667,0.7485295952121962,0.5030608184952404,0.4058955324512642
xgb,norm,"{""max_depth"": 6, ""min_child_weight"": 30}",all,0.07142857142857142,F1,7,266571,2.3,0.3968267013763465,0.8535263211401032,0.7707077643685594,298,2,3.6590728756077286,6.6947069897138345,0.615,0.711431155897429,0.4553907714889921,0.35093336934277547
xgb,norm,"{""max_depth"": 6, ""min_child_weight"": 30}",all,0.017857142857142856,F1,10,265671,1.5,0.5990746536987999,1.2552255717001586,1.180445675821993,298,2,7.622892149065173,14.413235531469228,0.8208333333333333,0.8472396801866997,0.6205171077259592,0.5703390354126909
xgb,norm,"{""max_depth"": 6, ""min_child_weight"": 30}",all,0.03571428571428571,F1,10,265671,1.5,0.46580810973061115,1.0182225978006203,0.9330181329719542,298,2,5.927149414038843,11.268857081313033,0.7488888888888889,0.743838351984151,0.5039914061848711,0.42962296786299364
xgb,norm,"{""max_depth"": 6, ""min_child_weight"": 30}",all,0.07142857142857142,F1,10,265671,2.5,0.38693541193289305,0.8890216454239603,0.7577567291359687,298,2,4.923538152728323,9.877433611201784,0.6277777777777778,0.7102529138259852,0.43495857545504885,0.34383575477348427
xgb,norm,"{""max_depth"": 6, ""min_child_weight"": 30}",all,0.017857142857142856,F1,14,264471,2.1,0.36556810895762937,0.9379230995189065,0.8463390332688359,298,2,6.696293835831376,12.507957520474404,0.6675,0.5866797916559713,0.40813626337774067,0.33277504337926533
xgb,norm,"{""max_depth"": 6, ""min_child_weight"": 30}",all,0.03571428571428571,F1,14,264471,2.6,0.3589917431479358,0.9190103349166535,0.803460066862898,298,2,6.575831255112314,13.28355806899867,0.6188888888888889,0.5847832677856536,0.39807902353046665,0.32675089832315907
xgb,norm,"{""max_depth"": 6, ""min_child_weight"": 30}",all,0.07142857142857142,F1,14,264471,2.4,0.3572007967092314,0.9264548815932123,0.8087533174416855,298,2,6.543025593721346,13.63703327322838,0.6141666666666666,0.5857944809842985,0.3976944964178555,0.32429778404109716
xgb,norm,"{""max_depth"": 6, ""min_child_weight"": 30}",all,0.017857142857142856,F2,7,291771,1.5,0.6306759009925801,1.2472266170810495,1.097123546025577,298,2,5.79678746887319,12.445038494135117,0.79,0.9540750577998695,0.7175213573096744,0.5786510682247168
