fold,P,model,n,wape,mase,mase_median,mase_series,mase_excluded,mae,rmse,share_y_le_forecast,fallback_share
F1,7,naive,3600,0.43389064618165385,0.9431237457049519,0.8718835977218822,298,2,4.0008333333333335,7.39092912517319,0.6088888888888889,0.0
F1,7,ma28,3600,0.39167043210189195,0.829925888198295,0.766096541007599,298,2,3.6115277760061955,6.761471719545893,0.5997222222222223,0.0
F1,7,snaive,3600,0.7042928151830095,1.481366870814553,1.1990710637082822,298,2,6.494166666666667,11.978534041266393,0.6319444444444444,0.0
F1,10,naive,3600,0.41457823960880197,0.9452463690031859,0.8646862423985463,298,2,5.275277777777778,10.272630843384007,0.6547222222222222,0.0
F1,10,ma28,3600,0.3675590036632093,0.8256754883064255,0.7356062410792577,298,2,4.676984122167859,9.112216129880277,0.6091666666666666,0.0
F1,10,snaive,3600,0.6489914425427873,1.4497775766261387,1.130765310691526,298,2,8.258055555555556,15.369802644579837,0.6333333333333333,0.0
F1,14,naive,3600,0.353835888570432,0.9222626076023803,0.864390930827513,298,2,6.481388888888889,12.676344986715304,0.5975,0.0
F1,14,ma28,3600,0.33657856079487114,0.8556943542502768,0.7766344254792873,298,2,6.165277787360052,12.040498772243291,0.5841666666666666,0.0
F1,14,snaive,3600,0.6068271082601641,1.5506071372658297,1.1997289743926869,298,2,11.115555555555556,20.794029591848393,0.6236111111111111,0.0
F2,7,naive,3600,0.47713741726857867,1.004737467465543,0.8957921256989171,298,2,4.385555555555555,10.226735114938252,0.6111111111111112,0.0
F2,7,ma28,3600,0.4283318957120532,0.8991802193894195,0.7453737713365496,298,2,3.9369650270044803,10.213088077006852,0.61,0.0
F2,7,snaive,3600,0.7365589773036356,1.4806664497173867,1.1765632019721877,298,2,6.77,14.916918061196302,0.6355555555555555,0.0
F2,10,naive,3600,0.44177352749402304,0.9835945001108616,0.8893660543900542,298,2,5.646111111111111,12.739309243440163,0.6463888888888889,0.0
F2,10,ma28,3600,0.3978389785487194,0.8835901534084529,0.7315047558593541,298,2,5.0846031675073835,12.25024634174974,0.6094444444444445,0.0
F2,10,snaive,3600,0.688980656379048,1.4718738975912964,1.17686183246572,298,2,8.805555555555555,18.686076218522828,0.6208333333333333,0.0
F2,14,naive,3600,0.3887696817673547,0.981544341983612,0.8270603121567939,298,2,7.1466666666666665,17.335272327444603,0.5872222222222222,0.0
F2,14,ma28,3600,0.3710649057976437,0.9204397895923175,0.7495215192258157,298,2,6.821203704410129,17.363351833545583,0.5852777777777778,0.0
F2,14,snaive,3600,0.6619118135936414,1.5974933546223298,1.2530548429646264,298,2,12.167777777777777,26.2322956169172,0.6233333333333333,0.0
F3,7,naive,3600,0.4752928546619936,1.0408716029892269,0.8695244739883274,299,1,4.181388888888889,8.521231653281635,0.6075,0.0
F3,7,ma28,3600,0.41826118651384286,0.8881932140348386,0.7547577578539583,299,1,3.6796527883555328,7.591704436485411,0.5752777777777778,0.0
F3,7,snaive,3600,0.8173092103185879,1.5377521122986717,1.2269348254205454,299,1,7.190277777777778,14.840887589509073,0.5922222222222222,0.0
F3,10,naive,3600,0.4418192959760332,1.0285516006198208,0.8837513117794354,299,1,5.4075,11.906802444167974,0.635,0.0
F3,10,ma28,3600,0.3911444208911527,0.8866087651087362,0.7582425796581984,299,1,4.787281758023633,10.265789355323143,0.5722222222222222,0.0
F3,10,snaive,3600,0.7643721204693493,1.5382757533799025,1.2052371973831186,299,1,9.355277777777777,19.55892095410401,0.5811111111111111,0.0
F3,14,naive,3600,0.3777875287959756,1.004960429460846,0.8608488750637631,299,1,6.6963888888888885,14.484560745842451,0.57,0.0
F3,14,ma28,3600,0.35068405264005215,0.9232901718667594,0.7795513257963658,299,1,6.215972245281769,13.026535453657504,0.5513888888888889,0.0
F3,14,snaive,3600,0.7265518484273872,1.6753779713183576,1.2948167683280989,299,1,12.878333333333334,26.869416732701055,0.5683333333333334,0.0
F4,7,naive,3600,0.4277661605600509,1.4633451748051647,0.9078673762479568,300,0,3.9208333333333334,7.6455687965135875,0.6016666666666667,0.0
F4,7,ma28,3600,0.4107570394447543,1.3311829282832035,0.8100068232381445,300,0,3.7649305640440436,7.809159280492375,0.565,0.0
F4,7,snaive,3600,0.8193472133830348,2.8650429231965964,1.2972990178121344,300,0,7.51,15.869327507980783,0.5636111111111111,0.0
F4,10,naive,3600,0.4084661660738594,1.4919121743309929,0.9122380285324332,300,0,5.167777777777777,10.574077317246697,0.635,0.0
F4,10,ma28,3600,0.38912778879262966,1.4627679163996687,0.7815925409359249,300,0,4.923115074541419,10.714133271639334,0.5694444444444444,0.0
F4,10,snaive,3600,0.7768849075659773,3.4037105822207656,1.2717612696813902,300,0,9.828888888888889,21.290986616667418,0.5494444444444444,0.0
F4,14,naive,3600,0.36304891922639365,1.7008056674755287,0.8707470845208601,300,0,6.648333333333333,14.395716955631862,0.5811111111111111,0.0
F4,14,ma28,3600,0.3676678047189895,1.8822187211956567,0.8341869667591021,300,0,6.732916673916495,15.247866439807828,0.5438888888888889,0.0
F4,14,snaive,3600,0.7410542282897231,4.4019664663585285,1.330236133313237,300,0,13.570555555555556,30.031141244455636,0.5311111111111111,0.0
